Website±Category±Browser±Time±Modified±Num Iframes±Num New Iframes±Num Removed Iframes±New Iframes±Removed Iframes±Iframes
lemon ±News±Chrome±2024-03-25 04:54:39±None±1±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-25 05:09:48±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-25 05:20:35±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-26 05:01:09±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-26 05:11:34±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-26 05:20:42±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-27 04:40:06±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-27 04:50:43±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-27 05:00:50±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
