Website±Category±Browser±Time±Modified±Num Iframes±Num New Iframes±Num Removed Iframes±New Iframes±Removed Iframes±Iframes
govbr ±Government±Chrome±2024-03-25 05:00:17±None±5±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-25 05:15:19±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-25 05:25:38±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-26 05:06:38±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-26 05:17:12±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-26 05:26:07±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-27 04:46:20±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-27 04:55:58±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
govbr ±Government±Chrome±2024-03-27 05:06:31±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"±None±None±None±None±"['<iframe height=""0"" width=""0"" style=""display:none;visibility:hidden"" data-src=""https://www.googletagmanager.com/ns.html?id=GTM-NHZSKTD""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/hei41gPg02w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""315"" src=""https://www.youtube-nocookie.com/embed/h4F_pKN7nZQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1200"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>', '<iframe width=""100%"" height=""1400"" src=""https://agenciagov.ebc.com.br/embedgov_view"" title=""AgênciaGov"" scrolling=""no"" allow=""clipboard-write; picture-in-picture; web-share"" allowfullscreen=""""></iframe>']"
