Website±Category±Browser±Time±Modified±Num Iframes±Num New Iframes±Num Removed Iframes±New Iframes±Removed Iframes±Iframes
amazon ±Online Retail±Chrome±2024-03-28 05:30:33±None±3±None±None±None±None±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711585824607&amp;s=ASIIM6ez-jM-fzXi9fszA1eR_rXokltx7dx2C-gnwi_a&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711585824607"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711585824607&s=ASIIM6ez-jM-fzXi9fszA1eR_rXokltx7dx2C-gnwi_a&gdpr_consent=&gdpr_consent_avl=&cb=1711585824607"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>', '<iframe name=""__tcfapiLocator"" src=""about:blank"" style=""display: none;""></iframe>']"
amazon ±Online Retail±Chrome±2024-03-28 05:35:10±Yes±3±2±2±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711586103862&amp;s=AVy1PmRBNZJSp07sR8CAEIUbqWRJLMVYGhFAObsKRuMB&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711586103862"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711586103862&s=AVy1PmRBNZJSp07sR8CAEIUbqWRJLMVYGhFAObsKRuMB&gdpr_consent=&gdpr_consent_avl=&cb=1711586103862"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711585824607&amp;s=ASIIM6ez-jM-fzXi9fszA1eR_rXokltx7dx2C-gnwi_a&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711585824607"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711585824607&s=ASIIM6ez-jM-fzXi9fszA1eR_rXokltx7dx2C-gnwi_a&gdpr_consent=&gdpr_consent_avl=&cb=1711585824607"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711586103862&amp;s=AVy1PmRBNZJSp07sR8CAEIUbqWRJLMVYGhFAObsKRuMB&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711586103862"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711586103862&s=AVy1PmRBNZJSp07sR8CAEIUbqWRJLMVYGhFAObsKRuMB&gdpr_consent=&gdpr_consent_avl=&cb=1711586103862"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>', '<iframe name=""__tcfapiLocator"" src=""about:blank"" style=""display: none;""></iframe>']"
amazon ±Online Retail±Chrome±2024-03-28 05:40:42±Yes±3±2±2±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711586435650&amp;s=AQ5cuNQMM9oR1GMvn5lC-jxWT-oXPXV3lGIsN39AK1C1&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711586435649"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711586435650&s=AQ5cuNQMM9oR1GMvn5lC-jxWT-oXPXV3lGIsN39AK1C1&gdpr_consent=&gdpr_consent_avl=&cb=1711586435649"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711586103862&amp;s=AVy1PmRBNZJSp07sR8CAEIUbqWRJLMVYGhFAObsKRuMB&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711586103862"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711586103862&s=AVy1PmRBNZJSp07sR8CAEIUbqWRJLMVYGhFAObsKRuMB&gdpr_consent=&gdpr_consent_avl=&cb=1711586103862"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711586435650&amp;s=AQ5cuNQMM9oR1GMvn5lC-jxWT-oXPXV3lGIsN39AK1C1&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711586435649"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711586435650&s=AQ5cuNQMM9oR1GMvn5lC-jxWT-oXPXV3lGIsN39AK1C1&gdpr_consent=&gdpr_consent_avl=&cb=1711586435649"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>', '<iframe name=""__tcfapiLocator"" src=""about:blank"" style=""display: none;""></iframe>']"
amazon ±Online Retail±Chrome±2024-03-29 05:26:20±Yes±3±2±2±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711671974506&amp;s=AcpErUdMl6BJjvrMATXzE1VgyYGTsYMntkOV6JD2gfQp&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711671974506"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711671974506&s=AcpErUdMl6BJjvrMATXzE1VgyYGTsYMntkOV6JD2gfQp&gdpr_consent=&gdpr_consent_avl=&cb=1711671974506"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711586435650&amp;s=AQ5cuNQMM9oR1GMvn5lC-jxWT-oXPXV3lGIsN39AK1C1&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711586435649"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711586435650&s=AQ5cuNQMM9oR1GMvn5lC-jxWT-oXPXV3lGIsN39AK1C1&gdpr_consent=&gdpr_consent_avl=&cb=1711586435649"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711671974506&amp;s=AcpErUdMl6BJjvrMATXzE1VgyYGTsYMntkOV6JD2gfQp&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711671974506"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711671974506&s=AcpErUdMl6BJjvrMATXzE1VgyYGTsYMntkOV6JD2gfQp&gdpr_consent=&gdpr_consent_avl=&cb=1711671974506"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>', '<iframe name=""__tcfapiLocator"" src=""about:blank"" style=""display: none;""></iframe>']"
amazon ±Online Retail±Chrome±2024-03-29 05:31:17±Yes±1±None±2±None±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711671974506&amp;s=AcpErUdMl6BJjvrMATXzE1VgyYGTsYMntkOV6JD2gfQp&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711671974506"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711671974506&s=AcpErUdMl6BJjvrMATXzE1VgyYGTsYMntkOV6JD2gfQp&gdpr_consent=&gdpr_consent_avl=&cb=1711671974506"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±"['<iframe name=""__tcfapiLocator"" src=""about:blank"" style=""display: none;""></iframe>']"
amazon ±Online Retail±Chrome±2024-03-29 05:36:10±Yes±3±2±0±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711672559817&amp;s=AaX-PVQoOo3ClXEmspLNDbDCwFuihBrvv9qoFzJsAb9R&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711672559817"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711672559817&s=AaX-PVQoOo3ClXEmspLNDbDCwFuihBrvv9qoFzJsAb9R&gdpr_consent=&gdpr_consent_avl=&cb=1711672559817"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>']"±None±"['<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&amp;slot=navFooter&amp;old_oo=0&amp;ts=1711672559817&amp;s=AaX-PVQoOo3ClXEmspLNDbDCwFuihBrvv9qoFzJsAb9R&amp;gdpr_consent=&amp;gdpr_consent_avl=&amp;cb=1711672559817"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox=""""></iframe>', '<iframe id=""DAsis"" src=""//aax-eu.amazon-adsystem.com/s/iu3?d=amazon.com.tr&slot=navFooter&old_oo=0&ts=1711672559817&s=AaX-PVQoOo3ClXEmspLNDbDCwFuihBrvv9qoFzJsAb9R&gdpr_consent=&gdpr_consent_avl=&cb=1711672559817"" width=""1"" height=""1"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no"" tabindex=""-1"" sandbox></iframe>', '<iframe name=""__tcfapiLocator"" src=""about:blank"" style=""display: none;""></iframe>']"
