Website±Category±Browser±Time±Modified±Num Iframes±Num New Iframes±Num Removed Iframes±New Iframes±Removed Iframes±Iframes
lemon ±News±Chrome±2024-03-28 05:15:46±None±1±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-28 05:20:33±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-28 05:26:19±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-29 05:11:41±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-29 05:16:47±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
lemon ±News±Chrome±2024-03-29 05:22:09±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"±None±None±None±None±"['<iframe name=""__tcfapiLocator"" style=""display: none;""></iframe>']"
