time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-31 19:46:34,1,https://aniwatchtv.to,9,NO,Yes,0,,No differences found.
2024-03-31 19:47:29,2,https://aniwatchtv.to,9,YES,NO,4," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 19:48:27,3,https://aniwatchtv.to,9,YES,NO,5," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 19:49:22,4,https://aniwatchtv.to,9,YES,NO,3," , js?id=G-TDZ1PKD2GH , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 20:00:45,1,https://es.aliexpress.com,56,NO,Yes,0,,No differences found.
2024-03-31 20:02:59,2,https://es.aliexpress.com,55,NO,NO,4," , baxiaCommon.js , js?id=G-VED1YSGNC7&l=dataLayer&cx=c , gtm.js?id=GTM-5VJNN2G , gettime?callback=timestampcb",The difference is very large
2024-03-31 19:37:28,1,https://finance.yahoo.com,41,NO,Yes,0,,No differences found.
2024-03-31 19:39:06,2,https://finance.yahoo.com,41,YES,NO,3," , gpt.js , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 19:41:15,3,https://finance.yahoo.com,41,YES,NO,3," , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , gpt.js , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 19:54:12,1,https://health.findanyanswer.net,14,NO,Yes,0,,No differences found.
