time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-31 14:55:35,1,https://aniwatchtv.to,9,NO,Yes,0,,No differences found.
2024-03-31 15:05:57,2,https://aniwatchtv.to,9,YES,NO,5," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 15:16:12,3,https://aniwatchtv.to,10,NO,NO,4," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 15:26:32,4,https://aniwatchtv.to,9,NO,NO,4," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 15:54:09,1,https://es.aliexpress.com,54,NO,Yes,0,,No differences found.
2024-03-31 16:11:35,2,https://es.aliexpress.com,55,NO,NO,6," , baxiaCommon.js , js?id=G-VED1YSGNC7&l=dataLayer&cx=c , gtm.js?id=GTM-5VJNN2G , gtm.js?id=GTM-5VJNN2G , gtm.js?id=GTM-5VJNN2G , gettime?callback=timestampcb",The difference is very large
2024-03-31 16:23:10,3,https://es.aliexpress.com,55,YES,NO,5," , js?id=G-VED1YSGNC7&l=dataLayer&cx=c , baxiaCommon.js , gtm.js?id=GTM-5VJNN2G , gtm.js?id=GTM-5VJNN2G , gettime?callback=timestampcb",The difference is very large
2024-03-31 13:09:49,1,https://finance.yahoo.com,41,NO,Yes,0,,No differences found.
2024-03-31 13:26:13,2,https://finance.yahoo.com,41,YES,NO,3," , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , gpt.js , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 13:38:04,3,https://finance.yahoo.com,41,YES,NO,3," , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , gpt.js , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 13:48:57,4,https://finance.yahoo.com,41,YES,NO,3," , gpt.js , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 14:57:12,1,https://health.findanyanswer.net,14,NO,Yes,0,,No differences found.
2024-03-31 15:07:34,2,https://health.findanyanswer.net,14,YES,NO,1," , js?id=G-1K5EYX259P",The difference is very large
