time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-30 19:52:16,1,https://aniwatchtv.to,10,NO,NO,5,js?id=G-TDZ1PKD2GH,The difference is very large
2024-03-30 19:57:33,2,https://aniwatchtv.to,10,YES,NO,2," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH",The difference is very large
2024-03-30 20:02:44,3,https://aniwatchtv.to,8,NO,NO,3," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , js?id=G-TDZ1PKD2GH",The difference is very large
2024-03-30 20:21:47,1,https://es.aliexpress.com,50,NO,Yes,0,,No differences found.
2024-03-30 20:29:48,2,https://es.aliexpress.com,52,NO,NO,2," , js?id=G-VED1YSGNC7&l=dataLayer&cx=c , gtm.js?id=GTM-5VJNN2G",The difference is very large
2024-03-30 20:19:03,1,https://finance.yahoo.com,40,NO,NO,3,dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation,The difference is very large
2024-03-30 20:27:11,2,https://finance.yahoo.com,41,NO,NO,3," , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , gpt.js , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-30 20:35:10,3,https://finance.yahoo.com,40,NO,NO,2," , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , gpt.js",The difference is very large
2024-03-30 20:19:31,1,https://health.findanyanswer.net,14,NO,Yes,0,,No differences found.
2024-03-30 20:24:50,2,https://health.findanyanswer.net,14,YES,NO,2," , js?id=G-1K5EYX259P , js?id=G-1K5EYX259P",The difference is very large
2024-03-30 20:30:10,3,https://health.findanyanswer.net,14,YES,Yes,0,,No differences found.
2024-03-30 20:51:55,1,https://pubmed.ncbi.nlm.nih.gov,16,NO,Yes,0,,No differences found.
2024-03-30 20:57:35,2,https://pubmed.ncbi.nlm.nih.gov,12,NO,NO,5," , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , js?id=G-CSLL4ZEK4L",The difference is very large
2024-03-30 21:03:01,3,https://pubmed.ncbi.nlm.nih.gov,16,NO,NO,5," , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , js?id=G-CSLL4ZEK4L , js?id=G-CSLL4ZEK4L",The difference is very large
2024-03-30 18:25:51,1,https://stackoverflow.com,11,NO,Yes,0,,No differences found.
2024-03-30 18:31:05,2,https://stackoverflow.com,11,YES,NO,1," , js?id=G-WCZ03SZFCQ",The difference is very large
2024-03-30 18:36:13,3,https://stackoverflow.com,11,YES,NO,177," , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , js?id=G-WCZ03SZFCQ , js?id=G-WCZ03SZFCQ",The difference is very large
2024-03-30 19:55:09,1,https://weather.com,39,NO,Yes,0,,No differences found.
